Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Dmitry Kulikov,22,FLA,D,34,3,7,10,-5,22,1,2,0,2,3,4,0,52,5.8,112,713:12,20:59,0,0,,49,84,9,23,
Maxim Lapierre,27,VAN,C,48,4,6,10,-6,45,4,0,0,1,6,0,0,54,7.4,92,604:35,12:36,274,268,50.6,18,116,14,13,
Guillaume Latendresse,25,OTT,RW,27,6,4,10,-2,8,5,1,0,0,4,0,0,53,11.3,98,399:37,14:48,0,4,0.0,8,42,14,7,
Ben Lovejoy,28,2TM,D,35,0,10,10,4,29,0,0,0,0,6,3,1,58,0.0,105,623:55,17:50,0,0,,42,76,8,8,
Ben Lovejoy,28,PIT,D,3,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,10,40:49,13:36,0,0,,3,2,0,2,
Ben Lovejoy,28,ANA,D,32,0,10,10,6,29,0,0,0,0,6,3,1,51,0.0,95,583:06,18:13,0,0,,39,74,8,6,
Clayton Stoner,27,MIN,D,48,0,10,10,0,42,0,0,0,0,9,0,1,40,0.0,93,874:18,18:13,0,0,,57,87,12,21,
Maxime Talbot,28,PHI,C,35,5,5,10,2,23,4,0,1,0,5,0,0,41,12.2,69,540:07,15:26,92,100,47.9,27,57,9,9,Selke-35
T.J. Brennan,23,2TM,D,29,3,7,10,-9,8,2,1,0,0,4,3,0,42,7.1,107,483:58,16:41,0,0,,32,31,12,8,
T.J. Brennan,23,BUF,D,10,1,0,1,-1,6,0,1,0,0,0,0,0,18,5.6,34,148:07,14:49,0,0,,13,3,1,4,
T.J. Brennan,23,FLA,D,19,2,7,9,-8,2,2,0,0,0,4,3,0,24,8.3,73,335:51,17:41,0,0,,19,28,11,4,
Jordan Leopold,32,2TM,D,39,2,8,10,-8,14,2,0,0,0,4,4,0,60,3.3,121,782:50,20:04,0,0,,57,39,7,14,
Jordan Leopold,32,BUF,D,24,2,6,8,-6,14,2,0,0,0,4,2,0,38,5.3,72,507:14,21:08,0,0,,49,28,7,13,
Jordan Leopold,32,STL,D,15,0,2,2,-2,0,0,0,0,0,0,2,0,22,0.0,49,275:36,18:22,0,0,,8,11,0,1,
Craig Adams,35,PIT,RW,48,3,6,9,-1,28,2,0,1,0,6,0,0,46,6.5,71,535:46,11:10,51,47,52.0,37,107,5,7,
Francis Bouillon,37,MTL,D,48,1,8,9,4,21,1,0,0,0,8,0,0,46,2.2,101,867:39,18:05,0,0,,50,78,9,34,
Rich Clune,25,NSH,LW,47,4,5,9,3,113,4,0,0,1,5,0,0,46,8.7,76,442:04,9:24,0,2,0.0,6,159,4,6,
Derek Dorsett,26,CBJ,RW,24,3,6,9,-11,53,3,0,0,0,6,0,0,38,7.9,58,383:45,15:59,13,10,56.5,10,55,5,1,
Tim Gleason,30,CAR,D,42,0,9,9,-3,40,0,0,0,0,8,1,0,36,0.0,100,821:50,19:34,0,0,,64,90,10,11,
Josh Gorges,28,MTL,D,48,2,7,9,4,15,2,0,0,0,7,0,0,40,5.0,95,1026:37,21:23,0,0,,116,68,8,18,
Jack Hillen,27,WSH,D,23,3,6,9,9,14,3,0,0,1,6,0,0,28,10.7,60,405:05,17:37,0,0,,35,10,2,13,
David Jones,28,COL,RW,33,3,6,9,-11,6,2,1,0,2,6,0,0,62,4.8,102,555:06,16:49,6,15,28.6,20,45,9,11,
Chris Kelly,32,BOS,C,34,3,6,9,-8,16,2,1,0,0,6,0,0,40,7.5,70,508:58,14:58,216,157,57.9,20,43,19,9,
Chuck Kobasew,30,COL,RW,37,5,4,9,6,21,5,0,0,1,4,0,0,43,11.6,73,416:59,11:16,18,31,36.7,17,34,14,4,
Leo Komarov,26,TOR,C,42,4,5,9,-1,18,4,0,0,3,5,0,0,51,7.8,96,585:18,13:56,29,28,50.9,24,176,16,15,
Riley Nash,23,CAR,C,32,4,5,9,-4,8,4,0,0,0,5,0,0,36,11.1,63,409:37,12:48,128,161,44.3,10,36,31,3,
Nikita Nikitin,26,CBJ,D,38,3,6,9,2,17,2,1,0,0,5,1,0,60,5.0,143,805:30,21:12,0,0,,56,31,11,18,
Steven Oleksy,26,WSH,D,28,1,8,9,9,33,1,0,0,0,8,0,0,25,4.0,70,483:30,17:16,0,0,,52,58,5,14,
Aaron Palushaj,23,COL,RW,25,2,7,9,-2,8,2,0,0,0,7,0,0,29,6.9,49,282:53,11:19,2,6,25.0,13,32,8,5,
Richard Pánik,21,TBL,RW,25,5,4,9,-2,4,4,1,0,1,3,1,0,34,14.7,56,283:13,11:20,1,2,33.3,13,38,13,7,
Lennart Petrell,28,EDM,C,35,3,6,9,-4,4,2,0,1,0,5,0,1,23,13.0,46,403:35,11:32,3,10,23.1,22,63,5,8,
