Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Ken Yaremchuk,22,CBH,RW,78,14,20,34,-15,43,14,0,0,2,20,0,0,81,17.3,,,
Jörgen Pettersson,29,2TM,LW,70,13,21,34,-15,12,9,4,0,3,14,7,0,101,12.9,,,
Jörgen Pettersson,29,HAR,LW,23,5,5,10,-11,2,3,2,0,0,2,3,0,27,18.5,,,
Jörgen Pettersson,29,WSH,LW,47,8,16,24,-4,10,6,2,0,3,12,4,0,74,10.8,,,
Perry Berezan,21,CGY,C,55,12,21,33,20,39,10,0,2,3,19,0,2,117,10.3,,,
Doug Halward,30,VAN,D,70,8,25,33,-20,111,5,3,0,0,10,14,1,122,6.6,,,
Al Iafrate,19,TOR,D,65,8,25,33,-13,40,6,2,0,2,13,12,0,97,8.2,,,
Kelly Miller,22,NYR,LW,74,13,20,33,3,52,12,0,1,3,20,0,0,111,11.7,,,
Greg Paslawski,24,STL,RW,56,22,11,33,-9,18,20,1,1,3,6,5,0,151,14.6,,,
Paul Reinhart,26,CGY,D,32,8,25,33,8,15,4,4,0,2,13,12,0,58,13.8,,,
Bob Bourne,31,NYI,LW,62,17,15,32,-8,36,15,2,0,5,13,2,0,100,17.0,,,
Gary Leeman,21,TOR,RW,53,9,23,32,-2,20,7,1,1,0,17,6,0,123,7.3,,,
Jamie Macoun,24,CGY,D,77,11,21,32,16,81,9,0,2,1,20,0,1,133,8.3,,,
Lindy Ruff,25,BUF,LW,54,20,12,32,8,158,14,5,1,4,9,3,0,131,15.3,,,
Greg Terrion,25,TOR,LW,76,10,22,32,-5,31,8,0,2,1,21,0,1,105,9.5,,,
Steve Konroyd,24,2TM,D,73,7,25,32,27,80,6,1,0,1,16,8,1,124,5.6,,,
Steve Konroyd,24,CGY,D,59,7,20,27,23,64,6,1,0,1,11,8,1,111,6.3,,,
Steve Konroyd,24,NYI,D,14,0,5,5,4,16,0,0,0,0,5,0,0,13,0.0,,,
Lucien DeBlois,28,MTL,RW,61,14,17,31,3,48,12,2,0,1,15,2,0,102,13.7,,,
Jim Fox,25,LAK,RW,39,14,17,31,-10,2,12,2,0,0,12,5,0,81,17.3,,,
Moe Lemay,23,VAN,LW,48,16,15,31,-14,92,10,6,0,1,10,5,0,112,14.3,,,
Willy Lindström,34,PIT,RW,71,14,17,31,-1,30,14,0,0,1,15,1,1,87,16.1,,,
Brent Peterson,27,VAN,C,77,8,23,31,-8,94,5,0,3,2,17,6,0,86,9.3,,,Selke-11
Peter Andersson,23,2TM,D,73,7,24,31,0,40,3,4,0,3,12,12,0,100,7.0,,,
Peter Andersson,23,WSH,D,61,6,16,22,-8,36,3,3,0,3,8,8,0,84,7.1,,,
Peter Andersson,23,QUE,D,12,1,8,9,8,4,0,1,0,0,4,4,0,16,6.3,,,
Bill Derlago,27,3TM,C,67,10,21,31,-5,21,7,2,1,1,17,4,0,77,13.0,,,
Bill Derlago,27,TOR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,,
Bill Derlago,27,BOS,C,39,5,16,21,6,15,3,1,1,1,13,3,0,40,12.5,,,
Bill Derlago,27,WIN,C,27,5,5,10,-11,6,4,1,0,0,4,1,0,35,14.3,,,
Jiří Bubla,36,VAN,D,43,6,24,30,-26,30,2,4,0,1,11,12,1,62,9.7,,,
Tom Kurvers,23,MTL,D,62,7,23,30,10,36,4,3,0,1,15,8,0,69,10.1,,,
Rick Meagher,32,STL,C,79,11,19,30,0,28,8,0,3,3,19,0,0,109,10.1,,,Selke-11
